Opcode,ALUFn,Instruction,RegWrite,MemWrite,MemRead,InstFmt,MemToReg,AluSrc,AluOp,CondOp,JType,XtendSel,Exc,Rtn,Halt,FPInst,FPIntCvtReg,InstMemRead,UnsignedOp,MemGran
8'b000000,??,HALT,0,0,0,2'b00,0,0,5'b00000,2'b00,2'b00,0,0,0,1,0,2'b00,0,0,2'b00
8'b000001,??,NOP,0,0,0,2'b00,0,0,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b000010,??,IRQ,0,0,0,2'b01,0,0,5'b00000,2'b00,2'b00,0,1,0,0,0,2'b00,0,0,2'b00
8'b000011,??,LDCR,1,0,1,2'b01,1,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,1,0,2'b00
8'b001000,??,ADDI,1,0,0,2'b01,0,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b001001,??,SUBI,1,0,0,2'b01,0,1,5'b01111,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b001010,??,XORI,1,0,0,2'b01,0,1,5'b00010,2'b00,2'b00,1,0,0,0,0,2'b00,0,0,2'b00
8'b001011,??,ANDNI,1,0,0,2'b01,0,1,5'b00011,2'b00,2'b00,1,0,0,0,0,2'b00,0,0,2'b00
8'b010100,??,ROLI,1,0,0,2'b01,0,1,5'b00100,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b010101,??,SLLI,1,0,0,2'b01,0,1,5'b00101,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b010110,??,RORI,1,0,0,2'b01,0,1,5'b00110,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b010111,??,SRLI,1,0,0,2'b01,0,1,5'b00111,2'b00,2'b00,0,0,0,0,0,2'b00,0,1,2'b00
8'b010000,??,ST,0,1,0,2'b01,0,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
